Clase de sitio,Nueva clase,Subclase
PUERTO,SECTOR MARITIMO Y FLUVIAL,
PLAYA,CENTRO TURÍSTICO,
MAR,CENTRO TURÍSTICO,
MUELLE TURISTICO,CENTRO TURÍSTICO,
RIOS,SECTOR MARITIMO Y FLUVIAL,
AUDITORIOS,CENTRO CULTURAL,
HACIENDA,AREA RURAL,
TRANSPORTE PUBLICO RURAL,VIAS PUBLICAS,
TEMPLOS,CENTRO RELIGIOSO,
TROCHA,AREA RURAL,
LAVANDERIAS,LOCAL COMERCIAL,
PUESTO DE CONTROL,FUERZA PUBLICA,
CASETA COMUNAL,CENTRO SOCIAL,
CICLO RUTA,CENTRO DEPORTIVO Y RECREACIONAL,
EMISORAS,CENTRO CULTURAL,
ESTABLECIMIENTOS SELLADOS,OTRO,
TEATROS,CENTRO CULTURAL,
SALON COMUNAL,CENTRO SOCIAL,
ZONA SELVÁTICA,LOTE BALDIO,
ALCALDIA,ENTIDAD PUBLICA,
VELODROMO,CENTRO DEPORTIVO Y RECREACIONAL,
INSTALACIONES JUDICIALES,ENTIDAD PUBLICA,
MÓVIL,OTRO,
GOBERNACION,ENTIDAD PUBLICA,
CONSULTORIOS JURIDICOS,CENTRO EDUCATIVO,
TRANSPORTE FLUVIAL,SECTOR MARITIMO Y FLUVIAL,
ESTACION TRANSMILENIO SENA,ESTACION TRANSPORTE PUBLICO,
ALTAMAR,OTRO,
TRANSPORTE ESCOLAR,VIAS PUBLICAS,
ESTACION MEGABUS,ESTACION TRANSPORTE PUBLICO,
ESTABLECIMIENTO DE MENSAJERIA,LOCAL COMERCIAL,
SALON JUEGO DIVERSION,LOCAL SERVICIO ENTRETENIMIENTO,
CASETA VIGILANCIA CONJUNTO RESIDENCIAL,OTRO,
VEHICULO DE UBER,VIAS PUBLICAS,
ALIMENTADOR METROLÍNEA,VIAS PUBLICAS,
COLISEO,CENTRO DEPORTIVO Y RECREACIONAL,
ESTACION TRANSMILENIO PARQUE,ESTACION TRANSPORTE PUBLICO,
MONTALLANTAS,LOCAL SERVICIO AUTOMOTRIZ,
VEHICULO INDRIVER,VIAS PUBLICAS,
MUELLE,SECTOR MARITIMO Y FLUVIAL,
ESCALERAS FIJAS,OTRO,
CULTIVOS,AREA RURAL,
PLAZA DE TOROS,OTRO,
GLORIETA,VIAS PUBLICAS,"Calles, callejones, andenes."
ISLA,AREA RURAL,
BUS TRANSMILENIO,VIAS PUBLICAS,
LICORERA/ESTANCO 24 HORAS,LOCAL COMERCIAL,
ESTACION TRANSMILENIO CALLE 100,ESTACION TRANSPORTE PUBLICO,
ESTACION TRANSMILENIO CALLE 45,ESTACION TRANSPORTE PUBLICO,
ESTACION TRANSMILENIO CALLE 63,ESTACION TRANSPORTE PUBLICO,
POTREROS,LOTE BALDIO,
RED VIRTUAL O INTERNET,OTRO,
ESTACION TRANSMILENIO CONCEJO DE BOGOTÁ,ESTACION TRANSPORTE PUBLICO,
TIPO EXPLOTACIÓN YESO,SECTOR INDUSTRIA,
CENTROS RELIGIOSOS,CENTRO RELIGIOSO,
TALLERES ELECTRICIDAD,LOCAL COMERCIAL,
SALAS DE CINE,CENTRO CULTURAL,
INSTALACIONES DE ARMADA NACIONAL,FUERZA PUBLICA,
ESTACION TRANSMILENIO AV JIMENEZ CALLE 13,ESTACION TRANSPORTE PUBLICO,
LABORATORIO DE BASE,INSTITUTOS DE SALUD,
PEAJE,VIAS PUBLICAS,"Calles, callejones, andenes."
LABORATORIO-TOMA DE MUESTRAS,INSTITUTOS DE SALUD,
RESGUARDO INDÍGENA,AREA RURAL,
RIVERAS,SECTOR MARITIMO Y FLUVIAL,
FINCAS Y SIMILARES,AREA RURAL,
HIPODROMO,CENTRO DEPORTIVO Y RECREACIONAL,
FRENTE A ZOOLÓGICO,VIAS PUBLICAS,"Calles, callejones, andenes."
ESTACION TRANSMILENIO ESCUELA MILITAR,ESTACION TRANSPORTE PUBLICO,
ESTACION TRANSMILENIO PORTAL 20 DE JULIO,ESTACION TRANSPORTE PUBLICO,
LIBRERIAS,LOCAL COMERCIAL,
ESTACION TRANSMILENIO ALCALA,ESTACION TRANSPORTE PUBLICO,
ESTACION TRANSMILENIO CALLE 76,ESTACION TRANSPORTE PUBLICO,
PARQUE NACIONAL NATURAL CAHUINARI,AREA RURAL,
VEHICULO UBER,VIAS PUBLICAS,
AREA NATURAL UNICA LOS ESTORAQUES,AREA RURAL,
ESTACION TRANSMILENIO CALLE 146,ESTACION TRANSPORTE PUBLICO,
ESTACION TRANSMILENIO GRANJA - CARRERA 77,ESTACION TRANSPORTE PUBLICO,
CASETA VIGILANCIA EMPRESAS,SECTOR INDUSTRIA,
ESTACION TRANSMILENIO UNIVERSIDADES,ESTACION TRANSPORTE PUBLICO,
SELVA,LOTE BALDIO,
ESTACION DE TRANSMILENIO GUATOQUE VERAGUAS,ESTACION TRANSPORTE PUBLICO,
